,0.4RT 0.6SW results_1Robot_trial1_robot1,0.4RT 0.6SW results_1Robot_trial2_robot1,0.4RT 0.6SW results_1Robot_trial3_robot1,0.4RT 0.6SW results_1Robot_trial4_robot1,0.4RT 0.6SW results_1Robot_trial5_robot1,0.4RT 0.6SW results_3Robot_trial1_robot1,0.4RT 0.6SW results_3Robot_trial1_robot2,0.4RT 0.6SW results_3Robot_trial1_robot3,0.4RT 0.6SW results_3Robot_trial2_robot1,0.4RT 0.6SW results_3Robot_trial2_robot2,0.4RT 0.6SW results_3Robot_trial2_robot3,0.4RT 0.6SW results_3Robot_trial3_robot1,0.4RT 0.6SW results_3Robot_trial3_robot2,0.4RT 0.6SW results_3Robot_trial3_robot3,0.4RT 0.6SW results_3Robot_trial4_robot1,0.4RT 0.6SW results_3Robot_trial4_robot2,0.4RT 0.6SW results_3Robot_trial4_robot3,0.4RT 0.6SW results_3Robot_trial5_robot1,0.4RT 0.6SW results_3Robot_trial5_robot2,0.4RT 0.6SW results_3Robot_trial5_robot3,0.4RT 0.6SW results_5Robot_trial1_robot1,0.4RT 0.6SW results_5Robot_trial1_robot2,0.4RT 0.6SW results_5Robot_trial1_robot3,0.4RT 0.6SW results_5Robot_trial1_robot4,0.4RT 0.6SW results_5Robot_trial1_robot5,0.4RT 0.6SW results_5Robot_trial2_robot1,0.4RT 0.6SW results_5Robot_trial2_robot2,0.4RT 0.6SW results_5Robot_trial2_robot3,0.4RT 0.6SW results_5Robot_trial2_robot4,0.4RT 0.6SW results_5Robot_trial2_robot5,0.4RT 0.6SW results_5Robot_trial3_robot1,0.4RT 0.6SW results_5Robot_trial3_robot2,0.4RT 0.6SW results_5Robot_trial3_robot3,0.4RT 0.6SW results_5Robot_trial3_robot4,0.4RT 0.6SW results_5Robot_trial3_robot5,0.4RT 0.6SW results_5Robot_trial4_robot1,0.4RT 0.6SW results_5Robot_trial4_robot2,0.4RT 0.6SW results_5Robot_trial4_robot3,0.4RT 0.6SW results_5Robot_trial4_robot4,0.4RT 0.6SW results_5Robot_trial4_robot5,0.4RT 0.6SW results_5Robot_trial5_robot1,0.4RT 0.6SW results_5Robot_trial5_robot2,0.4RT 0.6SW results_5Robot_trial5_robot3,0.4RT 0.6SW results_5Robot_trial5_robot4,0.4RT 0.6SW results_5Robot_trial5_robot5,0.6RT 0.4SW results_1Robot_trial1_robot1,0.6RT 0.4SW results_1Robot_trial2_robot1,0.6RT 0.4SW results_1Robot_trial3_robot1,0.6RT 0.4SW results_1Robot_trial4_robot1,0.6RT 0.4SW results_1Robot_trial5_robot1,0.6RT 0.4SW results_3Robot_trial1_robot1,0.6RT 0.4SW results_3Robot_trial1_robot2,0.6RT 0.4SW results_3Robot_trial1_robot3,0.6RT 0.4SW results_3Robot_trial2_robot1,0.6RT 0.4SW results_3Robot_trial2_robot2,0.6RT 0.4SW results_3Robot_trial2_robot3,0.6RT 0.4SW results_3Robot_trial3_robot1,0.6RT 0.4SW results_3Robot_trial3_robot2,0.6RT 0.4SW results_3Robot_trial3_robot3,0.6RT 0.4SW results_3Robot_trial4_robot1,0.6RT 0.4SW results_3Robot_trial4_robot2,0.6RT 0.4SW results_3Robot_trial4_robot3,0.6RT 0.4SW results_3Robot_trial5_robot1,0.6RT 0.4SW results_3Robot_trial5_robot2,0.6RT 0.4SW results_3Robot_trial5_robot3,0.6RT 0.4SW results_5Robot_trial1_robot1,0.6RT 0.4SW results_5Robot_trial1_robot2,0.6RT 0.4SW results_5Robot_trial1_robot3,0.6RT 0.4SW results_5Robot_trial1_robot4,0.6RT 0.4SW results_5Robot_trial1_robot5,0.6RT 0.4SW results_5Robot_trial2_robot1,0.6RT 0.4SW results_5Robot_trial2_robot2,0.6RT 0.4SW results_5Robot_trial2_robot3,0.6RT 0.4SW results_5Robot_trial2_robot4,0.6RT 0.4SW results_5Robot_trial2_robot5,0.6RT 0.4SW results_5Robot_trial3_robot1,0.6RT 0.4SW results_5Robot_trial3_robot2,0.6RT 0.4SW results_5Robot_trial3_robot3,0.6RT 0.4SW results_5Robot_trial3_robot4,0.6RT 0.4SW results_5Robot_trial3_robot5,0.6RT 0.4SW results_5Robot_trial4_robot1,0.6RT 0.4SW results_5Robot_trial4_robot2,0.6RT 0.4SW results_5Robot_trial4_robot3,0.6RT 0.4SW results_5Robot_trial4_robot4,0.6RT 0.4SW results_5Robot_trial4_robot5,0.6RT 0.4SW results_5Robot_trial5_robot1,0.6RT 0.4SW results_5Robot_trial5_robot2,0.6RT 0.4SW results_5Robot_trial5_robot3,0.6RT 0.4SW results_5Robot_trial5_robot4,0.6RT 0.4SW results_5Robot_trial5_robot5,RT results_1Robot_trial1_robot1,RT results_1Robot_trial2_robot1,RT results_1Robot_trial3_robot1,RT results_1Robot_trial4_robot1,RT results_1Robot_trial5_robot1,RT results_3Robot_trial1_robot1,RT results_3Robot_trial1_robot2,RT results_3Robot_trial1_robot3,RT results_3Robot_trial2_robot1,RT results_3Robot_trial2_robot2,RT results_3Robot_trial2_robot3,RT results_3Robot_trial3_robot1,RT results_3Robot_trial3_robot2,RT results_3Robot_trial3_robot3,RT results_3Robot_trial4_robot1,RT results_3Robot_trial4_robot2,RT results_3Robot_trial4_robot3,RT results_3Robot_trial5_robot1,RT results_3Robot_trial5_robot2,RT results_3Robot_trial5_robot3,RT results_5Robot_trial1_robot1,RT results_5Robot_trial1_robot2,RT results_5Robot_trial1_robot3,RT results_5Robot_trial1_robot4,RT results_5Robot_trial1_robot5,RT results_5Robot_trial2_robot1,RT results_5Robot_trial2_robot2,RT results_5Robot_trial2_robot3,RT results_5Robot_trial2_robot4,RT results_5Robot_trial2_robot5,RT results_5Robot_trial3_robot1,RT results_5Robot_trial3_robot2,RT results_5Robot_trial3_robot3,RT results_5Robot_trial3_robot4,RT results_5Robot_trial3_robot5,RT results_5Robot_trial4_robot1,RT results_5Robot_trial4_robot2,RT results_5Robot_trial4_robot3,RT results_5Robot_trial4_robot4,RT results_5Robot_trial4_robot5,RT results_5Robot_trial5_robot1,RT results_5Robot_trial5_robot2,RT results_5Robot_trial5_robot3,RT results_5Robot_trial5_robot4,RT results_5Robot_trial5_robot5,SW results_1Robot_trial1_robot1,SW results_1Robot_trial2_robot1,SW results_1Robot_trial3_robot1,SW results_1Robot_trial4_robot1,SW results_1Robot_trial5_robot1,SW results_3Robot_trial1_robot1,SW results_3Robot_trial1_robot2,SW results_3Robot_trial1_robot3,SW results_3Robot_trial2_robot1,SW results_3Robot_trial2_robot2,SW results_3Robot_trial2_robot3,SW results_3Robot_trial3_robot1,SW results_3Robot_trial3_robot2,SW results_3Robot_trial3_robot3,SW results_3Robot_trial4_robot1,SW results_3Robot_trial4_robot2,SW results_3Robot_trial4_robot3,SW results_3Robot_trial5_robot1,SW results_3Robot_trial5_robot2,SW results_3Robot_trial5_robot3,SW results_5Robot_trial1_robot1,SW results_5Robot_trial1_robot2,SW results_5Robot_trial1_robot3,SW results_5Robot_trial1_robot4,SW results_5Robot_trial1_robot5,SW results_5Robot_trial2_robot1,SW results_5Robot_trial2_robot2,SW results_5Robot_trial2_robot3,SW results_5Robot_trial2_robot4,SW results_5Robot_trial2_robot5,SW results_5Robot_trial3_robot1,SW results_5Robot_trial3_robot2,SW results_5Robot_trial3_robot3,SW results_5Robot_trial3_robot4,SW results_5Robot_trial3_robot5,SW results_5Robot_trial4_robot1,SW results_5Robot_trial4_robot2,SW results_5Robot_trial4_robot3,SW results_5Robot_trial4_robot4,SW results_5Robot_trial4_robot5,SW results_5Robot_trial5_robot1,SW results_5Robot_trial5_robot2,SW results_5Robot_trial5_robot3,SW results_5Robot_trial5_robot4,SW results_5Robot_trial5_robot5
Trial Number,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
Robot Number,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0
Time taken (s),7833.09,6410.11,5498.46,5522.24,7451.81,2107.97,1479.74,777.216,3710.56,3978.43,1521.95,2822.62,3498.78,2306.72,1544.48,2011.49,1368.54,3938.75,4575.55,2414.27,2081.76,3458.59,2931.42,1148.86,989.888,2491.33,2131.84,1601.6,1945.31,1388.22,1570.21,1297.15,846.112,2649.47,743.616,3055.42,1551.81,1446.27,2173.25,2459.04,2000.16,2113.54,1396.42,1783.42,2348.35,113.12,9283.58,7485.38,9480.77,9365.15,3297.02,5590.37,3095.33,3610.5,4553.79,2210.34,2711.71,2603.33,2910.18,3082.11,2193.5,1264.48,5088.19,4314.88,3622.3,1826.21,3407.62,2690.27,2251.78,2294.59,2743.04,3476.35,1195.71,1048.45,896.352,2546.59,2876.96,3330.66,1855.9,2086.5,1845.66,1549.12,1801.25,2321.92,2296.35,2420.9,2647.07,1123.55,3279.33,1250.3,10993.6,11201.3,12353.3,12051.0,12383.8,4914.56,3956.13,3170.14,2891.36,4592.45,3423.04,2880.54,3153.31,5373.09,3220.26,1892.13,2294.69,5347.62,3859.26,2734.5,2047.2,2506.53,1929.41,1805.41,1520.54,3411.23,2674.46,3856.96,3191.39,2398.75,2663.49,2547.23,1654.05,2113.31,752.48,2050.37,1527.39,1176.06,3093.25,819.136,2746.72,1137.57,2492.13,3160.1,2018.34,5110.78,4784.67,4066.14,4047.62,5038.24,1976.83,1660.45,1420.83,991.744,1561.15,1901.41,1377.31,1474.24,1631.3,2061.7,1959.9,1429.09,1830.11,1938.82,1727.39,673.152,1345.54,962.464,1483.55,742.816,549.472,1178.08,973.28,1095.26,389.664,1797.89,913.696,2242.3,1270.21,983.392,900.544,1476.51,1183.65,1402.46,1087.2,1124.99,815.04,1190.37,621.888,1012.38
Wall Obstacles (#),0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Number of Collisions (#),0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,6.0,13.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,5.0,8.0,2.0,5.0,5.0,10.0,5.0,2.0,18.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,6.0,3.0,5.0,7.0,155.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0,3.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0
Area occupancy (%),0.21443370165745856,0.25034530386740333,0.23031767955801105,0.23515193370165746,0.2013121546961326,0.09668508287292818,0.09426795580110497,0.04661602209944751,0.18197513812154695,0.16056629834254144,0.08943370165745856,0.1484806629834254,0.17990331491712708,0.09323204419889503,0.08839779005524862,0.0925414364640884,0.09046961325966851,0.17645027624309392,0.18024861878453038,0.12189226519337017,0.1156767955801105,0.16056629834254144,0.14709944751381215,0.07044198895027624,0.0718232044198895,0.1274171270718232,0.08839779005524862,0.09150552486187845,0.09046961325966851,0.08943370165745856,0.07493093922651933,0.04454419889502762,0.04523480662983426,0.15814917127071823,0.038328729281767955,0.10324585635359115,0.09046961325966851,0.043162983425414365,0.12154696132596685,0.14986187845303867,0.11395027624309392,0.08943370165745856,0.07769337016574586,0.1042817679558011,0.12879834254143646,0.007941988950276244,0.22513812154696133,0.23446132596685082,0.20545580110497239,0.2662292817679558,0.162292817679558,0.18335635359116023,0.1457182320441989,0.15400552486187846,0.14468232044198895,0.11015193370165746,0.10048342541436464,0.10359116022099447,0.1481353591160221,0.1647099447513812,0.11395027624309392,0.08218232044198895,0.21477900552486187,0.1671270718232044,0.15573204419889503,0.09426795580110497,0.13812154696132597,0.14882596685082872,0.10220994475138122,0.12603591160220995,0.12879834254143646,0.13225138121546962,0.05041436464088398,0.06284530386740332,0.05145027624309392,0.10980662983425414,0.11153314917127072,0.1647099447513812,0.09806629834254144,0.11982044198895028,0.10773480662983426,0.08908839779005524,0.11774861878453038,0.11878453038674033,0.13397790055248618,0.13363259668508287,0.12569060773480664,0.08183701657458564,0.13328729281767956,0.0694060773480663,0.17921270718232044,0.1944060773480663,0.1781767955801105,0.20925414364640885,0.19958563535911603,0.1294889502762431,0.19267955801104972,0.14019337016574585,0.1453729281767956,0.15538674033149172,0.14226519337016574,0.11947513812154696,0.1550414364640884,0.1899171270718232,0.1484806629834254,0.11774861878453038,0.1253453038674033,0.1484806629834254,0.1619475138121547,0.15089779005524862,0.10738950276243094,0.13604972375690608,0.1087707182320442,0.11464088397790055,0.09392265193370165,0.09910220994475138,0.1439917127071823,0.1550414364640884,0.10669889502762431,0.07354972375690608,0.12914364640883977,0.13708563535911603,0.09806629834254144,0.13984806629834254,0.04454419889502762,0.125,0.08667127071823204,0.07354972375690608,0.15469613259668508,0.05939226519337017,0.1277624309392265,0.06802486187845304,0.1388121546961326,0.15676795580110497,0.11671270718232044,0.23791436464088397,0.23756906077348067,0.224792817679558,0.2102900552486188,0.23998618784530387,0.1018646408839779,0.08218232044198895,0.08874309392265194,0.06180939226519337,0.09633977900552486,0.11705801104972376,0.056284530386740333,0.09116022099447514,0.10013812154696132,0.09910220994475138,0.09841160220994476,0.09150552486187845,0.08390883977900553,0.12430939226519337,0.1111878453038674,0.03487569060773481,0.09426795580110497,0.05662983425414365,0.08390883977900553,0.04419889502762431,0.02382596685082873,0.0625,0.05870165745856354,0.06664364640883978,0.02589779005524862,0.09599447513812155,0.05179558011049724,0.09633977900552486,0.07320441988950276,0.050759668508287295,0.04730662983425414,0.09806629834254144,0.05973756906077348,0.08667127071823204,0.07354972375690608,0.0555939226519337,0.05421270718232044,0.07700276243093923,0.03487569060773481,0.0738950276243094
Efficiency (Overlap)(%),0.0,0.0,0.0,0.0,0.0,83.0,83.0,83.0,370.0,370.0,370.0,385.0,385.0,385.0,156.0,156.0,156.0,387.0,387.0,387.0,461.0,461.0,461.0,461.0,461.0,395.0,395.0,395.0,395.0,395.0,239.0,239.0,239.0,239.0,239.0,398.0,398.0,398.0,398.0,398.0,391.0,391.0,391.0,391.0,391.0,0.0,0.0,0.0,0.0,0.0,410.0,410.0,410.0,317.0,317.0,317.0,249.0,249.0,249.0,337.0,337.0,337.0,444.0,444.0,444.0,503.0,503.0,503.0,503.0,503.0,336.0,336.0,336.0,336.0,336.0,453.0,453.0,453.0,453.0,453.0,404.0,404.0,404.0,404.0,404.0,454.0,454.0,454.0,454.0,454.0,0.0,0.0,0.0,0.0,0.0,357.0,357.0,357.0,357.0,357.0,357.0,441.0,441.0,441.0,334.0,334.0,334.0,379.0,379.0,379.0,448.0,448.0,448.0,448.0,448.0,411.0,411.0,411.0,411.0,411.0,433.0,433.0,433.0,433.0,433.0,359.0,359.0,359.0,359.0,359.0,459.0,459.0,459.0,459.0,459.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,172.0,172.0,172.0,113.0,113.0,113.0,150.0,150.0,150.0,161.0,161.0,161.0,186.0,186.0,186.0,186.0,186.0,131.0,131.0,131.0,131.0,131.0,248.0,248.0,248.0,248.0,248.0,259.0,259.0,259.0,259.0,259.0,208.0,208.0,208.0,208.0,208.0
Efficiency (Overall area covered by all robots) (%),621.0,725.0,667.0,681.0,583.0,604.0,604.0,604.0,787.0,787.0,787.0,747.0,747.0,747.0,612.0,612.0,612.0,776.0,776.0,776.0,770.0,770.0,770.0,770.0,770.0,688.0,688.0,688.0,688.0,688.0,733.0,733.0,733.0,733.0,733.0,779.0,779.0,779.0,779.0,779.0,950.0,950.0,950.0,950.0,950.0,23.0,652.0,679.0,595.0,771.0,689.0,689.0,689.0,701.0,701.0,701.0,750.0,750.0,750.0,675.0,675.0,675.0,791.0,791.0,791.0,840.0,840.0,840.0,840.0,840.0,791.0,791.0,791.0,791.0,791.0,824.0,824.0,824.0,824.0,824.0,767.0,767.0,767.0,767.0,767.0,804.0,804.0,804.0,804.0,804.0,519.0,563.0,516.0,606.0,578.0,673.0,673.0,673.0,605.0,605.0,605.0,629.0,629.0,629.0,571.0,571.0,571.0,671.0,671.0,671.0,665.0,665.0,665.0,665.0,665.0,812.0,812.0,812.0,812.0,812.0,785.0,785.0,785.0,785.0,785.0,695.0,695.0,695.0,695.0,695.0,781.0,781.0,781.0,781.0,781.0,689.0,688.0,651.0,609.0,695.0,661.0,661.0,661.0,620.0,620.0,620.0,602.0,602.0,602.0,675.0,675.0,675.0,756.0,756.0,756.0,694.0,694.0,694.0,694.0,694.0,537.0,537.0,537.0,537.0,537.0,752.0,752.0,752.0,752.0,752.0,725.0,725.0,725.0,725.0,725.0,626.0,626.0,626.0,626.0,626.0
